FID,FID_,Inspection,License__,Risk,str_Name,Zip,Latitude,Longitude,Violation,Type,count_ins,D_crime,Exp,D_rodent,D_sani,D_envir,year_built,Pass1
0,5264,1324560,2,Risk 1 (High),MONROE,60606,41.880757160000002,-87.634709299999997,1,Canvass,1,487.034600000000010,0,330.362500000000010,458.831099999999990,1243.929699999999900,1970,1
1,269,1092747,9,Risk 1 (High),MICHIGAN,60603,41.880395839999998,-87.624501719999998,1,Canvass,2,691.906100000000040,0,205.253300000000000,620.045100000000050,657.608299999999990,1906,1
2,1477,1324763,40,Risk 1 (High),MICHIGAN,60601,41.886567370000002,-87.624384669999998,1,Complaint Re-Inspection,3,353.858299999999990,0,408.428800000000020,401.025500000000020,770.336300000000050,1980,0
3,482,1324817,62,Risk 1 (High),WASHINGTON,60606,41.883317859999998,-87.634769090000006,1,Canvass,2,464.732500000000020,0,221.498500000000010,241.838900000000000,1290.730499999999900,1912,1
4,148,1345758,99,Risk 1 (High),LA,60601,41.885822050000002,-87.632303739999998,1,Canvass Re-Inspection,4,402.961599999999980,0,335.575400000000000,647.123399999999950,911.337800000000020,1986,1
5,10723,1227729,115,Risk 1 (High),HALSTED,60609,41.827185020000002,-87.646170459999993,1,Canvass,1,513.969399999999950,0,380.598500000000000,805.711500000000000,2668.823400000000200,1868,1
6,5408,1353716,149,Risk 1 (High),WESTERN,60643,41.712012129999998,-87.681935409999994,1,Complaint Re-Inspection,3,1175.848400000000100,1,363.543700000000000,1618.482500000000100,4618.527600000000300,1962,0
7,1786,1092685,158,Risk 2 (Medium),WRIGHTWOOD,60614,41.929205189999998,-87.647522490000000,1,Canvass,1,291.555400000000020,1,131.843500000000010,369.499000000000020,1251.726899999999900,1891,1
8,4591,1106735,241,Risk 1 (High),CLARK,60626,42.018903510000001,-87.675958150000000,1,Canvass,1,553.477999999999950,0,652.699899999999960,897.859699999999980,2384.897199999999900,1901,1
9,4018,1092576,257,Risk 1 (High),ARMITAGE,60614,41.918445339999998,-87.638007430000002,1,Canvass,1,465.343900000000020,1,240.641899999999990,478.103200000000020,568.898400000000040,2006,1
10,6433,1139006,276,Risk 1 (High),DIVISION,60610,41.904038229999998,-87.629502320000000,1,Canvass,1,257.991199999999990,0,176.862100000000000,246.275800000000000,662.960199999999990,1930,1
11,345,1376055,319,Risk 2 (Medium),TAYLOR,60607,41.869371180000002,-87.652780820000004,1,Canvass,1,380.883300000000020,0,433.085899999999980,377.538599999999970,2237.959800000000100,1869,1
12,4559,1092541,349,Risk 1 (High),WEBSTER,60614,41.921636620000001,-87.653004080000002,1,Canvass,2,270.625800000000030,1,219.080099999999990,304.373299999999970,896.008500000000030,1906,1
