FID,Inspection,License__,Risk,Zip,Latitude,Longitude,Pass,Violation,exp,Type,year_built,str_name,d_rodent,d_14crime,d_14san_co,d_14en_com,count_insp
0,1447571,2,Risk 1 (High),60606,41.880757160000002,-87.634709299999997,1,1,0,Canvass,1970,MONROE,767.710600000000000,633.110800000000040,398.482599999999990,1311.840700000000000,2
1,1473667,9,Risk 1 (High),60603,41.880395839999998,-87.624501719999998,1,1,0,Canvass,1906,MICHIGAN,835.420600000000040,781.484100000000010,706.763199999999980,1234.426899999999900,1
2,1372583,40,Risk 1 (High),60601,41.886567370000002,-87.624384669999998,0,1,0,Canvass Re-Inspection,1980,MICHIGAN,68.455100000000002,265.544500000000030,507.735799999999980,1729.228599999999900,2
3,1447556,62,Risk 1 (High),60606,41.883317859999998,-87.634769090000006,1,1,0,Canvass,1912,WASHINGTON,406.049199999999980,376.469600000000010,411.615000000000010,1774.429300000000000,2
4,1493463,99,Risk 1 (High),60601,41.885822050000002,-87.632303739999998,1,1,1,Canvass,1986,LA,1555.058299999999900,418.896000000000020,446.019499999999990,1646.665700000000000,1
5,1459773,115,Risk 1 (High),60609,41.827185020000002,-87.646170459999993,1,1,0,Canvass,1868,HALSTED,278.961099999999990,884.252899999999950,733.240500000000000,1463.446300000000100,1
6,1515487,149,Risk 1 (High),60643,41.712012129999998,-87.681935409999994,1,1,0,Complaint,1962,WESTERN,337.443100000000020,1501.744200000000100,1612.897999999999900,5304.893399999999900,2
7,1393310,158,Risk 2 (Medium),60614,41.929205189999998,-87.647522490000000,1,1,0,Canvass,1891,WRIGHTWOOD,742.083499999999960,532.076500000000010,270.984600000000000,733.770800000000010,1
8,1401950,207,Risk 2 (Medium),60614,41.918197790000001,-87.639747369999995,1,1,0,Canvass Re-Inspection,1896,ARMITAGE,512.146100000000050,563.680600000000030,311.486699999999980,660.339100000000030,2
9,1464323,241,Risk 1 (High),60626,42.018903510000001,-87.675958150000000,1,1,1,Complaint,1901,CLARK,530.070699999999990,617.318400000000000,624.242200000000030,2562.934400000000100,3
10,1496651,257,Risk 1 (High),60614,41.918445339999998,-87.638007430000002,1,1,0,Canvass,2006,ARMITAGE,1127.579700000000000,546.657799999999950,46.668599999999998,784.263600000000000,2
11,1501929,276,Risk 1 (High),60610,41.904038229999998,-87.629502320000000,1,1,1,Canvass,1930,DIVISION,307.848700000000010,643.282400000000050,273.059399999999980,1477.807000000000000,3
12,1393305,349,Risk 1 (High),60614,41.921636620000001,-87.653004080000002,1,1,0,Canvass Re-Inspection,1906,WEBSTER,360.823100000000010,376.999199999999970,205.389600000000000,1012.005300000000000,2
13,1506282,385,Risk 1 (High),60634,41.951274669999997,-87.807066379999995,1,1,0,Canvass,1979,HARLEM,305.832200000000000,757.512600000000020,983.390800000000010,1977.587199999999900,2
14,1460196,404,Risk 1 (High),60618,41.959539280000001,-87.688483800000000,0,1,1,Canvass Re-Inspection,1927,WESTERN,786.633199999999990,583.127899999999950,612.664300000000030,2269.238199999999800,2
15,1439257,574,Risk 1 (High),60611,41.898564469999997,-87.619470579999998,0,1,0,Canvass Re-Inspection,1966,CHESTNUT,466.497300000000000,535.839699999999990,641.136399999999980,542.619500000000020,2
16,1497728,644,Risk 1 (High),60602,41.882434009999997,-87.631037010000000,0,1,0,Complaint Re-Inspection,1922,CLARK,489.612100000000000,471.971200000000010,383.697999999999980,930.854400000000060,5
17,1512566,663,Risk 1 (High),60609,41.814373220000000,-87.665262549999994,1,1,1,Canvass,1899,ASHLAND,458.793099999999980,622.025600000000050,739.806600000000000,2662.344300000000200,2
18,1401780,691,Risk 1 (High),60614,41.920015990000003,-87.641449199999997,0,1,0,Canvass Re-Inspection,1891,CLEVELAND,644.070600000000010,587.889800000000040,89.821299999999994,394.463000000000020,2
19,1512348,700,Risk 1 (High),60610,41.907742839999997,-87.634460790000006,0,1,1,Canvass Re-Inspection,1915,WELLS,339.176600000000010,814.904000000000000,69.894300000000001,1466.643300000000000,3
20,1493780,740,Risk 2 (Medium),60622,41.910732840000001,-87.668177689999993,1,1,0,Canvass,1896,NORTH,665.315600000000020,367.710600000000000,160.768900000000000,563.360000000000010,1
21,1471302,783,Risk 1 (High),60634,41.948274720000001,-87.766984500000007,1,1,0,Canvass,1923,CENTRAL,287.909899999999990,651.553599999999960,795.977899999999980,2945.425400000000100,1
22,1401548,800,Risk 1 (High),60618,41.954243669999997,-87.680304250000006,1,1,0,Canvass,1916,IRVING,439.893500000000020,509.898500000000010,595.044800000000010,2070.681099999999800,1
23,1496937,833,Risk 1 (High),60633,41.655416649999999,-87.547290790000005,0,1,0,Canvass Re-Inspection,1903,BALTIMORE,184.769700000000000,643.301299999999970,520.502299999999990,9308.460900000000000,2
24,1439231,845,Risk 1 (High),60611,41.889963870000003,-87.627506920000002,1,1,0,Canvass,1949,HUBBARD,432.387999999999980,302.265199999999990,819.394499999999990,678.973100000000040,1
25,1493279,853,Risk 1 (High),60614,41.920030779999998,-87.636545549999994,1,1,0,Complaint,1974,LINCOLN,751.270800000000010,358.250200000000010,301.620600000000020,940.243799999999960,2
26,1424471,928,Risk 2 (Medium),60656,41.980726199999999,-87.805712779999993,1,1,0,Canvass,1963,HIGGINS,233.933500000000010,1001.792100000000000,848.331300000000060,3138.646200000000100,1
27,1490868,955,Risk 1 (High),60618,41.934168139999997,-87.690478260000006,1,1,1,Canvass,2006,ELSTON,569.572800000000030,767.787000000000030,922.591099999999980,1766.365100000000000,1
28,1199600,968,Risk 1 (High),60614,41.920082190000002,-87.648724709999996,1,1,0,Canvass,2007,HALSTED,158.621299999999990,478.573399999999990,52.233600000000003,348.377299999999990,2
29,1493963,990,Risk 1 (High),60632,41.820230969999997,-87.694874709999993,0,1,0,Suspected Food Poisoning Re-inspection,1942,40TH,262.511399999999980,374.568400000000000,277.083800000000000,2930.373900000000000,3
30,1418256,1050,Risk 1 (High),60659,41.990198520000000,-87.715262370000005,1,1,0,Canvass,1964,PETERSON,324.179800000000000,488.599400000000000,469.078800000000000,3515.865600000000100,1
31,1497566,1058,Risk 1 (High),60622,41.902821330000002,-87.696143300000003,0,1,1,Complaint,1909,DIVISION,387.353999999999980,381.217100000000020,342.918000000000010,1864.460800000000100,4
32,1490255,1060,Risk 1 (High),60638,41.777878670000000,-87.776323710000000,1,1,1,Canvass,1960,63RD,422.880900000000000,1099.134100000000000,631.233700000000000,3872.591100000000100,1
33,1480380,1064,Risk 1 (High),60623,41.845451410000003,-87.705214290000001,1,1,1,Complaint,1924,KEDZIE,416.664499999999980,635.486800000000020,628.377100000000040,2153.442200000000000,2
34,1447348,1077,Risk 1 (High),60606,41.885618489999999,-87.634122360000006,0,1,1,Canvass Re-Inspection,1878,LAKE,831.200399999999950,216.336400000000000,327.911299999999980,1951.775100000000100,2
35,1372355,1168,Risk 1 (High),60603,41.879982730000002,-87.627575190000002,1,1,1,Canvass,1919,STATE,183.971600000000000,566.100400000000040,379.824599999999980,660.389000000000010,1
36,1482357,1187,Risk 1 (High),60640,41.976541730000001,-87.652657640000001,0,1,0,Canvass Re-Inspection,1960,FOSTER,725.456199999999970,692.973799999999980,680.254000000000020,2179.337799999999800,2
37,1515524,1192,Risk 1 (High),60641,41.953402859999997,-87.739602230000003,1,1,0,Complaint,1955,IRVING,147.093500000000010,492.959600000000020,644.769000000000010,2503.500700000000100,2
38,1491037,1212,Risk 1 (High),60608,41.847573840000003,-87.683215840000003,1,1,0,Canvass,1886,OAKLEY,185.278899999999990,765.986400000000000,561.015400000000000,1244.742999999999900,1
39,1434910,1219,Risk 1 (High),60660,41.989333600000002,-87.660394609999997,0,0,0,Recent Inspection,1971,BROADWAY,51.640799999999999,830.965299999999960,372.997700000000010,1679.789000000000000,3
40,1493969,1237,Risk 1 (High),60603,41.880591899999999,-87.630442329999994,1,1,1,Canvass,1905,MONROE,393.075400000000000,713.200699999999980,266.793600000000030,247.053200000000000,1
41,1372387,1242,Risk 1 (High),60601,41.887556040000000,-87.619655089999995,1,1,1,Canvass,1989,WACKER,236.187700000000010,1005.779700000000000,696.342200000000050,895.547800000000050,1
42,1401985,1246,Risk 1 (High),60610,41.895647490000002,-87.634029859999998,1,1,1,Canvass,1881,WELLS,191.124799999999990,605.729699999999980,294.971600000000020,1928.603100000000000,1
43,1418241,1254,Risk 1 (High),60656,41.980268750000000,-87.802542349999996,0,1,0,Canvass Re-Inspection,1952,HIGGINS,527.445000000000050,931.229799999999950,512.389999999999990,3295.325699999999900,2
44,1441379,1425,Risk 1 (High),60657,41.935464430000003,-87.654102030000004,1,1,0,Canvass,1896,SHEFFIELD,371.435000000000000,323.887499999999990,342.677000000000020,1994.378200000000100,1
45,1496854,1434,Risk 2 (Medium),60652,41.740515139999999,-87.721478360000006,1,1,0,Canvass,1956,PULASKI,525.937999999999990,433.708100000000000,391.663799999999980,3658.929700000000100,1
46,1497369,1462,Risk 2 (Medium),60647,41.924942000000001,-87.687496400000001,1,1,0,Canvass,1917,WESTERN,297.768899999999970,402.613600000000020,284.475199999999970,2108.414900000000200,1
47,1418311,1470,Risk 1 (High),60659,41.997926419999999,-87.684784859999994,1,1,0,Canvass,2006,DEVON,189.606100000000000,208.693199999999990,261.535199999999970,1524.669599999999900,1
48,1453321,1491,Risk 1 (High),60605,41.872361370000000,-87.630467199999998,1,1,0,Canvass,1952,CLARK,155.530000000000000,507.117900000000020,499.328100000000010,869.867100000000050,1
49,1441513,1525,Risk 1 (High),60657,41.935181900000003,-87.646987409999994,1,1,0,Canvass,1927,CLARK,341.597600000000000,394.517699999999990,363.651900000000010,1937.698400000000000,2
50,1424294,1529,Risk 1 (High),60630,41.968090259999997,-87.731668089999999,1,1,0,Canvass,1927,LAWRENCE,207.181099999999990,897.967700000000040,582.209100000000030,2105.798800000000000,1
51,1490375,1542,Risk 1 (High),60615,41.799656210000002,-87.588735709999995,0,1,0,Suspected Food Poisoning Re-inspection,1888,53RD,21087.105299999999000,363.036600000000020,181.165799999999990,366.799100000000010,4
