FID,Field1,FID_,Inspection,License__,Risk,Zip,Latitude,Longitude,Pass,Violation,exp,Type,year_built,str_name,d_rodent,d_14crime,d_14san_co,d_14en_com,count_insp,PassProb,FailProb,FailRank,FID_1,Inspection_1,DBA_Name,AKA_Name,License__1,Facility_T,Address,City,State,Zip_1,Latitude_1,Longitude_1,Violation_1,Risk1,Type_1,Pass1,d_13fail,d_cri14,d_sancom14
0,1286,1285,1515277,55054,Risk 1 (High),60617,41.735859580000003,-87.585771609999995,0,1,0,Complaint Re-Inspection,1954,STONY,287.317600000000030,518.729199999999990,563.608899999999950,2423.300800000000000,10,0.00%,100.00%,1,141,1515277,BJ'S MARKET & BAKERY,BJ'S MARKET & BAKERY,55054,Restaurant,8734 S STONY ISLAND AVE,CHICAGO,IL,60617,41.735859575699997,-87.585771611799998,1,1,Complaint Re-Inspection,1,279.372300000000000,518.729100000000020,563.608899999999950
1,4100,4099,1515510,1980017,Risk 1 (High),60647,41.918265959999999,-87.689528379999999,0,1,0,Short Form Complaint,1899,Milwaukee,155.669900000000010,699.421000000000050,470.422199999999980,2314.316800000000100,10,0.00%,100.00%,2,15,1515510,Congress Pizza,Congress Pizza & Pasta,1980017,Restaurant,2033 N Milwaukee AVE,CHICAGO,IL,60647,41.918265955700001,-87.689528380400006,1,1,Short Form Complaint,1,175.781100000000010,699.421200000000000,470.422399999999980
2,6158,6157,1501475,2246913,Risk 1 (High),60618,41.939409169999998,-87.711130560000001,0,0,0,Short Form Complaint,1905,BELMONT,707.928199999999950,608.929200000000040,616.945299999999970,1849.150300000000000,9,0.00%,100.00%,3,1827,1501475,NEW BUFFET CASTLE  INC,NEW BUFFET CASTLE,2246913,Restaurant,3326 W BELMONT AVE,CHICAGO,IL,60618,41.939409165100002,-87.711130560699999,0,1,Short Form Complaint,1,431.140199999999990,608.927699999999960,616.944600000000040
3,2494,2493,1512580,1519152,Risk 2 (Medium),60637,41.778597179999998,-87.615441390000001,0,1,0,Short Form Complaint,2005,DR,496.485300000000000,137.098099999999990,632.922699999999960,2669.499400000000200,9,0.00%,100.00%,4,658,1512580,McDONALDS,McDONALDS,1519152,Restaurant,6355 S DR MARTIN LUTHER KING JR DR,CHICAGO,IL,60637,41.778597183400002,-87.615441387900006,1,1,Short Form Complaint,1,2511.076300000000200,137.097700000000000,632.922199999999980
4,3190,3189,1363206,1801390,Risk 1 (High),60608,41.857716160000003,-87.664394959999996,0,1,0,Short Form Complaint,1881,18TH,819.205400000000050,412.106100000000030,333.790399999999980,2826.743199999999900,8,0.00%,100.00%,5,4070,1363206,NUEVO LEON RESTAURANT,NUEVO LEON RESTAURANT,1801390,Restaurant,1515 W 18TH ST,CHICAGO,IL,60608,41.857716162999999,-87.664394962200006,1,1,Short Form Complaint,1,233.381200000000010,412.106299999999980,190.484800000000010
5,1376,1375,1467451,63356,Risk 1 (High),60607,41.866174200000003,-87.639357149999995,0,1,0,Complaint Re-Inspection,1997,CANAL,185.706700000000010,1415.934000000000000,1073.260299999999900,2516.099000000000200,8,0.00%,100.00%,6,4624,1467451,"HONG KONG DELIGHT III, INC",HONG KONG DELIGHT,63356,Restaurant,1238 S CANAL ST,CHICAGO,IL,60607,41.866174197299998,-87.639357150300000,1,1,Complaint Re-Inspection,1,333.524800000000030,1415.934299999999900,475.964400000000010
6,1494,1493,1496824,75883,Risk 1 (High),60616,41.853098459999998,-87.634602889999996,0,1,1,Complaint Re-Inspection,1998,ARCHER,344.133800000000010,298.819500000000010,414.540700000000020,1912.042300000000100,8,0.00%,100.00%,7,3676,1496824,LAO SZE CHUAN RESTAURANT,LAO SZE CHUAN RESTAURANT,75883,Restaurant,2172 S ARCHER AVE,CHICAGO,IL,60616,41.853098459300000,-87.634602894799997,1,1,Complaint Re-Inspection,1,114.767600000000000,298.819900000000020,398.017299999999980
7,6916,6915,1493752,2308009,Risk 1 (High),60638,41.796900000000001,-87.755430020000006,0,1,0,Short Form Complaint,1928,ARCHER,216.250100000000000,638.346300000000040,863.234900000000040,6125.579499999999800,8,0.00%,100.00%,8,4875,1493752,TEQUILA RESTAURANT,TEQUILA RESTAURANT,2308009,Restaurant,5728 S ARCHER AVE,CHICAGO,IL,60638,41.796899998500002,-87.755430018300004,1,1,Short Form Complaint,1,2445.666700000000200,638.346599999999970,94.088200000000001
8,251,250,1512909,9278,Risk 1 (High),60611,41.889971090000003,-87.627074769999993,1,0,0,Short Form Complaint,1949,HUBBARD,46.399099999999997,337.875699999999990,796.074600000000030,796.586099999999990,7,0.00%,100.00%,9,455,1512909,SHAW'S CRAB HOUSE,SHAW'S CRAB HOUSE,9278,Restaurant,21 E HUBBARD ST,CHICAGO,IL,60611,41.889971085399999,-87.627074774500002,0,1,Short Form Complaint,1,117.376600000000000,337.876199999999980,796.075299999999970
9,4397,4396,1418702,2026186,Risk 1 (High),60659,41.997983750000003,-87.681420450000005,1,1,0,Short Form Complaint,1962,DEVON,337.270600000000000,525.065500000000040,583.494299999999950,1153.056100000000000,7,0.00%,100.00%,10,596,1418702,GHAREEB NAWAZ RESTAURANT,GHAREEB NAWAZ RESTAURANT,2026186,Restaurant,2032-2034 W DEVON AVE,CHICAGO,IL,60659,41.997983750300001,-87.681420447899995,1,1,Short Form Complaint,1,988.128199999999990,525.065600000000020,583.494000000000030
10,3333,3332,1515350,1840678,Risk 1 (High),60614,41.915496789999999,-87.634314410000002,0,0,0,Consultation,1974,LINCOLN,142.944500000000010,849.692999999999980,293.447799999999970,2255.579400000000100,7,0.00%,100.00%,11,114,1515350,PERENNIAL,PERENNIAL  VIBRANT,1840678,Restaurant,1800 N LINCOLN AVE,CHICAGO,IL,60614,41.915496787499997,-87.634314407100007,0,1,Consultation,1,1208.696600000000000,849.692900000000010,293.447499999999990
11,2670,2669,1325327,1594881,Risk 1 (High),60644,41.869450180000001,-87.744716350000004,0,1,0,Canvass,1974,CICERO,1089.247900000000100,399.651900000000010,296.132799999999970,2317.867000000000200,7,0.00%,100.00%,12,1064,1325327,MARVIN RESTAURANT,MARVIN RESTAURANT,1594881,Restaurant,901 S CICERO AVE,CHICAGO,IL,60644,41.869450183200001,-87.744716348899999,1,1,Canvass,1,1632.794300000000000,399.651400000000020,296.131800000000000
12,493,492,1412216,21794,Risk 1 (High),60652,41.754660119999997,-87.741384760000003,0,1,1,Short Form Complaint,2005,CICERO,275.605399999999970,1309.174500000000100,1657.994999999999900,5852.117500000000300,7,0.00%,100.00%,13,2113,1412216,OLD COUNTRY BUFFET,OLD COUNTRY BUFFET,21794,Restaurant,7601 S CICERO AVE,CHICAGO,IL,60652,41.754660124399997,-87.741384758600006,1,1,Short Form Complaint,1,2419.668200000000100,1309.175900000000000,998.640300000000020
13,3472,3471,1493669,1874364,Risk 2 (Medium),60637,41.777998199999999,-87.605730120000004,0,1,0,Complaint Re-Inspection,1907,COTTAGE,531.870499999999990,268.318699999999980,554.843399999999970,2150.148499999999800,6,0.01%,99.99%,14,4997,1493669,HAROLDS CHICKEN #2,HAROLDS CHICKEN #2,1874364,Restaurant,6419 S COTTAGE GROVE AVE,CHICAGO,IL,60637,41.777998195999999,-87.605730121400001,1,1,Complaint Re-Inspection,1,1630.084000000000100,268.317700000000000,405.108600000000020
14,6989,6988,1512986,2309011,Risk 1 (High),60636,41.779128710000002,-87.683489879999996,0,1,0,Canvass Re-Inspection,1925,WESTERN,1049.005200000000100,376.355700000000010,358.938600000000010,1701.471600000000100,6,0.01%,99.99%,15,403,1512986,BUGSY'S,BUGSY'S,2309011,Restaurant,6301 S WESTERN AVE,CHICAGO,IL,60636,41.779128707700004,-87.683489883999997,1,1,Canvass Re-Inspection,1,3712.631199999999800,376.354400000000000,358.937400000000030
15,1982,1981,1513018,1273271,Risk 2 (Medium),60620,41.751022499999998,-87.626980290000006,0,1,0,Complaint Re-Inspection,1966,79TH,161.793700000000000,616.156899999999950,544.203499999999960,2346.423499999999900,6,0.01%,99.99%,16,331,1513018,CHURCH'S CHICKEN # 982,CHURCH'S CHICKEN # 982,1273271,Restaurant,58 W 79TH ST,CHICAGO,IL,60620,41.751022503000002,-87.626980293599999,1,1,Complaint Re-Inspection,1,1759.787399999999900,616.157100000000010,544.203099999999950
16,144,143,1439546,4190,Risk 1 (High),60611,41.890762889999998,-87.627549009999996,0,0,0,Short Form Complaint,1992,ILLINOIS,771.894099999999980,210.802400000000010,642.365800000000040,722.969100000000030,6,0.01%,99.99%,17,3512,1439546,STAR OF SIAM INC,STAR OF SIAM,4190,Restaurant,11 E ILLINOIS ST,CHICAGO,IL,60611,41.890762892500000,-87.627549005800006,0,1,Short Form Complaint,1,149.465000000000000,210.802699999999990,271.126100000000010
17,6086,6085,1467509,2240843,Risk 1 (High),60607,41.869401580000002,-87.664675259999996,0,1,0,Short Form Complaint,1884,TAYLOR,1292.755500000000000,506.204000000000010,612.920300000000000,3347.084100000000000,6,0.01%,99.99%,18,3058,1467509,TAJ MAHAL,TAJ MAHAL,2240843,Restaurant,1512 W TAYLOR ST,CHICAGO,IL,60607,41.869401584499997,-87.664675257100001,1,1,Short Form Complaint,1,1107.457200000000100,506.204900000000010,438.186100000000010
18,2268,2267,1501933,1445981,Risk 2 (Medium),60620,41.736380050000001,-87.627509219999993,0,1,0,Short Form Complaint,1974,87TH,613.541600000000020,364.235900000000020,565.107700000000020,3256.438299999999800,6,0.01%,99.99%,19,1340,1501933,DOCKS,DOCKS,1445981,Restaurant,112 W 87TH ST,CHICAGO,IL,60620,41.736380045600001,-87.627509219000004,1,1,Short Form Complaint,1,2935.973399999999900,364.235900000000020,565.107300000000010
19,1035,1034,1501633,40377,Risk 1 (High),60610,41.910610370000001,-87.631798970000006,0,1,0,Canvass Re-Inspection,2008,CLARK,54.419899999999998,686.709799999999970,254.404699999999990,537.837899999999990,6,0.01%,99.99%,20,1629,1501633,"TIPAROS THAI RESTAURANT , INC.",TIPAROS THAI RESTAURANT .,40377,Restaurant,1540 N CLARK ST,CHICAGO,IL,60610,41.910610371799997,-87.631798972300004,1,1,Canvass Re-Inspection,1,956.741700000000040,686.709600000000020,254.404500000000010
20,780,779,1496674,32246,Risk 1 (High),60613,41.954371760000001,-87.654998109999994,0,1,0,Complaint Re-Inspection,1905,IRVING,471.405899999999970,277.737399999999980,406.687700000000010,2241.064800000000100,6,0.01%,99.99%,21,3951,1496674,FORNELLO TRATTORIA,FORNELLO TRATTORIA,32246,Restaurant,1011 W IRVING PARK RD,CHICAGO,IL,60613,41.954371764900003,-87.654998108300006,1,1,Complaint Re-Inspection,1,847.547299999999950,277.737300000000000,377.232700000000020
21,2531,2530,1464617,1544937,Risk 1 (High),60660,41.993972700000000,-87.660242380000000,0,1,0,Canvass Re-Inspection,1914,BROADWAY,129.281100000000010,430.995600000000020,336.666800000000020,1898.152900000000000,6,0.01%,99.99%,22,832,1464617,THE PUMPING CO INC,THE PUMPING CO,1544937,Restaurant,6157 N BROADWAY,CHICAGO,IL,60660,41.993972702000001,-87.660242375199999,1,1,Canvass Re-Inspection,1,412.114399999999990,430.995200000000010,336.667399999999990
22,6646,6645,1501367,2293041,Risk 1 (High),60620,41.750305230000002,-87.659402240000006,0,1,1,Short Form Complaint,1919,79TH,340.596600000000020,277.123299999999970,388.818800000000010,2462.507599999999900,6,0.01%,99.99%,23,1941,1501367,RIBS UNLIMITED,RIBS UNLIMITED,2293041,Restaurant,1419 W 79TH ST,CHICAGO,IL,60620,41.750305233600002,-87.659402241899997,1,1,Short Form Complaint,1,1874.083900000000100,277.123600000000010,584.437999999999990
23,4001,4000,1464618,1968755,Risk 2 (Medium),60660,41.983952199999997,-87.669006159999995,0,1,0,Short Form Complaint,1974,CLARK,129.281100000000010,942.801100000000020,428.279600000000020,1918.403000000000000,6,0.01%,99.99%,24,835,1464618,MCDONALD'S,MCDONALD'S,1968755,Restaurant,5614 N CLARK ST,CHICAGO,IL,60660,41.983952200600001,-87.669006163500001,1,1,Short Form Complaint,1,224.936600000000000,942.801100000000020,428.279000000000000
24,2649,2648,1445262,1592999,Risk 1 (High),60605,41.865517449999999,-87.625648060000003,0,1,1,Canvass Re-Inspection,1937,WABASH,359.284600000000010,248.408999999999990,108.436800000000010,2018.286900000000100,6,0.01%,99.99%,25,85,1445262,ZAPATISTA,ZAPATISTA,1592999,Restaurant,1307 S WABASH AVE,CHICAGO,IL,60605,41.865517449400002,-87.625648057999996,1,1,Canvass Re-Inspection,1,182.238900000000000,248.408999999999990,108.436899999999990
25,1182,1181,1497666,47719,Risk 1 (High),60616,41.853620739999997,-87.632981330000007,0,1,1,Short Form Complaint,1989,ARCHER,202.125000000000000,265.965500000000020,525.563700000000040,1732.027399999999900,6,0.01%,99.99%,26,2846,1497666,PHOENIX RESTAURANT OF IL.L.L.C,PHOENIX RESTAURANT OF IL.L.L.C,47719,Restaurant,2131 S ARCHER AVE,CHICAGO,IL,60616,41.853620744399997,-87.632981329900005,1,1,Short Form Complaint,1,78.552099999999996,265.966999999999980,425.890499999999970
26,3068,3067,1385625,1742764,Risk 1 (High),60651,41.894936010000002,-87.767324230000000,0,1,0,Complaint Re-Inspection,2006,CHICAGO,309.636399999999980,223.954000000000010,175.404599999999990,1940.661000000000100,6,0.01%,99.99%,27,3648,1385625,BARNEY'S PIZZA,BARNEY'S PIZZA,1742764,Restaurant,5648 W CHICAGO AVE,CHICAGO,IL,60651,41.894936005799998,-87.767324234800000,1,1,Complaint Re-Inspection,1,1534.837000000000000,223.954800000000010,377.684800000000000
27,5645,5644,1515405,2177289,Risk 2 (Medium),60609,41.794915740000000,-87.630376670000004,0,1,1,Complaint,1992,WENTWORTH,92.356700000000004,677.502700000000000,386.141000000000020,4134.650499999999700,6,0.01%,99.99%,28,110,1515405,CHECKERS DRIVE-IN RESTAURANTS,CHECKERS,2177289,Restaurant,5451 S WENTWORTH AVE,CHICAGO,IL,60609,41.794915740800000,-87.630376665399993,1,1,Complaint,1,1002.966100000000000,677.502299999999990,386.141300000000000
28,725,724,1418572,29726,Risk 1 (High),60659,41.993498170000002,-87.712204330000006,0,1,1,Short Form Complaint,2006,LINCOLN,228.577000000000000,945.903599999999980,768.917900000000030,3799.603700000000100,6,0.02%,99.98%,29,2859,1418572,OLD COUNTRY BUFFET,OLD COUNTRY BUFFET,29726,Restaurant,6125 N LINCOLN AVE,CHICAGO,IL,60659,41.993498168099997,-87.712204330500001,1,1,Short Form Complaint,1,363.737199999999970,945.903199999999970,173.714499999999990
