FID,Inspection,DBA_Name,AKA_Name,License__,Facility_T,Address,City,State,Zip,Latitude,Longitude,Violation,Risk1,Type,Pass1,d_13fail,d_cri14,d_sancom14
0,1515542,POPEYES,POPEYES,12199,Restaurant,2800 W DIVERSEY AVE,CHICAGO,IL,60647,41.932205395099999,-87.697679243899998,1,1,Complaint,1,1233.466100000000100,627.315799999999970,220.854099999999990
1,1515533,SUBWAY,SUBWAY,2289496,Restaurant,1232 S CANAL ST,CHICAGO,IL,60607,41.866329535399998,-87.639362587299999,1,1,Canvass Re-Inspection,1,303.240999999999990,1399.689699999999900,1065.209200000000000
2,1515534,SUBWAY,SUBWAY,2197158,Restaurant,1608 W 59TH ST,CHICAGO,IL,60636,41.786849792500000,-87.664801412200006,1,1,Complaint,1,3539.204400000000100,146.484299999999990,378.723999999999990
3,1515536,HAROLD'S CHICKEN',HAROLD'S CHICKEN,2373694,Restaurant,8653 S STATE ST,CHICAGO,IL,60619,41.736529348600001,-87.624018132600000,1,1,License,1,2133.116100000000200,834.207800000000020,338.792800000000000
4,1515540,D & D'S PLACE,D&D PLACE RESTAURANT,2313937,Restaurant,8324 S KEDZIE AVE,CHICAGO,IL,60652,41.741604209099997,-87.702320339799996,1,1,Complaint,1,4460.780800000000500,599.470500000000020,417.622500000000000
5,1515541,BILLYS GOAT'S,BILLY GOAT TAVERN & GRILL,50158,Restaurant,1535 W MADISON ST,CHICAGO,IL,60607,41.881353214400001,-87.665915939300007,1,1,Canvass Re-Inspection,0,1594.948100000000100,405.849800000000020,587.956599999999980
6,1515543,THE CORNED BEEF FACTORY SANDWHICH SHOP,THE CORNED BEEF FACTORY SANDWHICH SHOP,2369237,Restaurant,1009-1011 W LAKE ST,CHICAGO,IL,60607,41.885466893599997,-87.652544691100005,1,1,License,0,327.797800000000000,360.020699999999980,268.659200000000000
7,1385856,BIG JJ FISH CHICKEN & MORE,BIG JJ FISH CHICKEN & MORE,2241001,Restaurant,5053 W DIVISION ST,CHICAGO,IL,60651,41.902168332400002,-87.753024784399997,1,1,Canvass,1,2330.876299999999900,214.546899999999990,160.248099999999990
8,1418759,TACO BURRITO KING,TACO BURRITO KING,2065146,Restaurant,5501 N HARLEM AVE,CHICAGO,IL,60656,41.981149750500002,-87.806809298399997,0,1,Short Form Complaint,1,2132.059999999999900,1092.196799999999900,778.682599999999980
9,1385855,"BEEFEE, INC.",BEEFEE,2289081,Restaurant,5433 W CHICAGO AVE,CHICAGO,IL,60651,41.894768780699998,-87.762057759000001,1,1,Short Form Complaint,1,1638.596200000000000,499.884200000000020,386.721299999999990
10,1387825,MAGGIE GYROS & CHICKEN,MAGGIE GYROS & CHICKEN,1869774,Restaurant,349 E 47TH ST,CHICAGO,IL,60653,41.809256591299999,-87.617666276400001,1,1,Complaint,1,614.960400000000050,253.241400000000000,505.067700000000000
11,1515505,BURGER KING #14476,BURGER KING,2232352,Restaurant,6950 S PULASKI RD,CHICAGO,IL,60629,41.766201554500000,-87.722593657499999,1,1,Canvass Re-Inspection,1,243.541200000000000,516.370800000000030,204.877399999999990
12,1515508,DUNKIN DONUTS,DUNKIN DONUTS / BASKIN & ROBBINS,2020845,Restaurant,100 W RANDOLPH ST,CHICAGO,IL,60601,41.884586267200000,-87.631010445900003,1,1,Short Form Complaint,1,260.761399999999980,689.993399999999950,561.507100000000040
13,1515512,PAULINES,PAULINES,2284694,Restaurant,1337 W FULLERTON AVE,CHICAGO,IL,60614,41.925127685400000,-87.662040670799996,1,1,Canvass,0,1003.632600000000000,424.392800000000020,80.963399999999993
14,1515509,BEAUDEVIN WINE BAR,BEAUDEVIN WINE BAR/T1 C-16,2363769,Restaurant,11601 W TOUHY AVE,CHICAGO,IL,60666,42.008536400899999,-87.914428439299996,1,0,License,1,0.000000000000000,22126.378400000001000,20207.507300000001000
15,1515510,Congress Pizza,Congress Pizza & Pasta,1980017,Restaurant,2033 N Milwaukee AVE,CHICAGO,IL,60647,41.918265955700001,-87.689528380400006,1,1,Short Form Complaint,1,175.781100000000010,699.421200000000000,470.422399999999980
16,1515511,BEAUDEVIN WINE BAR,BEAUDEVIN WINE BAR/T1 C-16,2363770,Restaurant,11601 W TOUHY AVE,CHICAGO,IL,60666,42.008536400899999,-87.914428439299996,0,0,License,1,0.000000000000000,22126.378400000001000,20207.507300000001000
17,1515514,TACOS DE CANASTA Y ANTOJITOS ORALE INC,TACOS DE CANASTA Y ANTOJITOS ORALE INC,2373513,Restaurant,1621 W 43RD ST,CHICAGO,IL,60609,41.815749343000000,-87.666125925000003,0,1,License,1,411.032100000000010,540.032900000000040,764.966099999999980
18,1385850,EL AZTECA,EL AZTECA,2124800,Restaurant,4154-4158 W ARMITAGE AVE,CHICAGO,IL,60639,41.917217114499998,-87.731229409299999,1,1,Complaint,0,721.347399999999990,608.261600000000040,292.798200000000010
19,1515515,FRONTERA TORTAS BY RICK  BAYLESS,FRONTERA TORTAS BY RICK BAYLESS (T1-B11),2363760,Restaurant,11601 W TOUHY AVE,CHICAGO,IL,60666,42.008536400899999,-87.914428439299996,1,1,License,1,0.000000000000000,22126.378400000001000,20207.507300000001000
20,1515516,FRONTERA TORTAS BY RICK  BAYLESS,FRONTERA TORTAS BY RICK BAYLESS (T1-B11),2363761,Restaurant,11601 W TOUHY AVE,CHICAGO,IL,60666,42.008536400899999,-87.914428439299996,0,1,License,1,0.000000000000000,22126.378400000001000,20207.507300000001000
21,1515517,"CARLYN BERGHOFF CATERING, INC.","CARLYN BERGHOFF CATERING, INC.",1676680,Restaurant,17 W ADAMS ST,CHICAGO,IL,60603,41.879341938800003,-87.628411888599999,1,1,Complaint,1,330.863099999999970,495.514000000000010,394.863999999999980
22,1515519,ALLENDE RESTAURANT,ALLENDE RESTAURANT,27794,Restaurant,2408 N LINCOLN AVE,CHICAGO,IL,60614,41.925602222800002,-87.649189288700001,1,1,Canvass,1,185.112699999999990,492.660199999999970,51.622199999999999
23,1515518,XOCO,XOCO,2299421,Restaurant,1471 N MILWAUKEE AVE,CHICAGO,IL,60622,41.908726093799999,-87.674660839400005,1,1,Complaint,1,184.819799999999990,321.813199999999990,587.101700000000050
24,1515520,WHAT'S COOKIN?,WHAT'S COOKIN?,2348704,Restaurant,6051 S RACINE AVE,CHICAGO,IL,60636,41.783564189800003,-87.654455925299999,1,1,License,1,1687.829500000000100,587.334200000000010,1060.266100000000100
25,1410239,YUN DING,YUN DING,2364198,Restaurant,2002 S WENTWORTH AVE,CHICAGO,IL,60616,41.855281703800003,-87.631992642300006,0,1,Short Form Complaint,1,550.192900000000010,434.276400000000020,348.894999999999980
